Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
3F+d_iv_lag+vix_mom_lag+rho,14.197813034057617,0.00011976728697167842,0.010943824147512533,0.007492519449442625,0.0006413788651116192,0.0054257214069366455,-0.505144135063244,4.1s,-72.12%,15.96%
3F+d_iv_lag+vix_mom+gamma,15.861247062683105,0.00013379937629324817,0.011567168032550066,0.007938457652926445,0.0009222587686963379,0.0057710930705070496,-0.6814887570303314,4.0s,-92.29%,-11.72%
3F+d_iv_lag+vix_mom+theta,13.961177825927734,0.0001177711234208759,0.01085224047931467,0.007457756903022528,-0.0006257559289224446,0.005352452397346497,-0.4800578703820719,4.0s,-69.25%,11.98%
3F+d_iv_lag+vix_mom+vega,12.970195770263672,0.00010941158016165736,0.01045999905170442,0.007075141184031963,7.365611963905394e-05,0.005019694566726685,-0.3750014912441222,4.1s,-57.24%,7.10%
3F+d_iv_lag+vix_mom+rho,9.18305492401123,7.746471739855102e-05,0.008801404285598466,0.0057680304162204266,0.0012775969225913286,0.004099369049072266,0.026482372483462302,4.0s,-11.33%,29.20%
3F+d_iv_lag+gamma+theta,16.042457580566406,0.00013532799848636726,0.011633056283125569,0.008094781078398228,-0.0013579331571236253,0.005909264087677002,-0.7006993176673504,4.1s,-94.48%,-74.70%
3F+d_iv_lag+gamma+vega,16.85214614868164,0.0001421582196522978,0.011923012188717153,0.00830039195716381,-0.0001226890744874254,0.006110593676567078,-0.7865363403554924,4.1s,-104.30%,-5.05%
3F+d_iv_lag+gamma+rho,16.23435401916504,0.00013694676299434846,0.011702425517573204,0.008140196092426777,0.0011372370645403862,0.00607694685459137,-0.7210427183307773,4.1s,-96.81%,3.67%
3F+d_iv_lag+theta+vega,11.109692573547363,9.371709117674607e-05,0.00968075881203256,0.006439951714128256,-0.0011436002096161246,0.004605427384376526,-0.1777650951818155,4.1s,-34.68%,31.57%
3F+d_iv_lag+theta+rho,15.027921676635742,0.0001267697640274642,0.011259207966258736,0.0076981279999017715,0.0009057325660251081,0.005524039268493652,-0.5931459387103721,4.2s,-82.18%,-35.27%
3F+d_iv_lag+vega+rho,11.865226745605469,0.00010009048669792457,0.010004523311878712,0.0066915289498865604,-1.0649204341461882e-05,0.00480690598487854,-0.25786108075263847,4.1s,-43.84%,21.05%
