Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
3F+gamma+rho,97.43396759033203,0.00026328879410463576,0.01622617620096108,0.007384687662124634,0.0009701717644929886,0.004228144884109497,0.18040549659730876,12.7s,11.03%,4.77%
3F+theta+vega,92.03541564941406,0.0002487006759607476,0.01577024654089934,0.006960962899029255,-1.046409579430474e-05,0.003713071346282959,0.2258170056073281,12.7s,15.96%,5.54%
3F+theta+rho,97.24522399902344,0.0002627787658898395,0.016210452365367212,0.007770504802465439,-0.0006314732017926872,0.004609912633895874,0.18199316888259864,12.9s,11.20%,-5.66%
3F+vega+rho,100.02381896972656,0.00027028716298414216,0.01644041249434278,0.007188068237155676,-0.00010994110925821587,0.003948405385017395,0.15862019925515003,12.9s,8.66%,-2.86%
3F+vix_lag+iv_lag+d_iv_lag,40.24720764160156,0.00010875713088674033,0.010428668701552481,0.005601048935204744,-0.00016264240548480302,0.0030748695135116577,0.6614487639561489,12.9s,63.25%,59.76%
3F+vix_lag+iv_lag+vix_mom_lag,50.34791946411133,0.00013605155706189812,0.011664114071025631,0.006126491352915764,-0.0002987413899973035,0.0034879744052886963,0.5764836527642178,13.0s,54.02%,-25.10%
3F+vix_lag+iv_lag+vix_mom,50.89106369018555,0.0001375192565905599,0.011726860474592503,0.0063085295259952545,0.00016688578762114048,0.0036952123045921326,0.5719148352023893,12.9s,53.53%,-1.08%
3F+vix_lag+iv_lag+gamma,45.54328918457031,0.00012306835065345362,0.011093617563872194,0.006030423566699028,-0.0004413690767250955,0.0034744367003440857,0.6168992148662448,13.0s,58.41%,10.51%
3F+vix_lag+iv_lag+theta,50.93669128417969,0.0001376425527520292,0.011732116294685678,0.006641814950853586,-1.781164428393822e-05,0.0040315985679626465,0.5715310252625301,13.1s,53.49%,-11.84%
3F+vix_lag+iv_lag+vega,51.99246597290039,0.00014049549666383037,0.011853079627836403,0.006550491787493229,-0.00011544972949195653,0.0039050504565238953,0.5626500656433404,13.0s,52.52%,-2.07%
3F+vix_lag+iv_lag+rho,52.46949005126953,0.00014178452447886057,0.011907330703346597,0.006709940265864134,0.001404518261551857,0.004150390625,0.5586374371700145,13.0s,52.09%,-0.92%
3F+vix_lag+d_iv_lag+vix_mom_lag,55.34302520751953,0.00014954947159963664,0.012229042137454455,0.005922781769186258,5.731144847231917e-05,0.0032144933938980103,0.5344658502210028,12.9s,49.46%,-5.48%
3F+vix_lag+d_iv_lag+vix_mom,53.67362594604492,0.00014503837419384413,0.012043187875053853,0.005788647569715977,0.000974668248090893,0.003222227096557617,0.5485084935878615,12.8s,50.99%,3.02%
3F+vix_lag+d_iv_lag+gamma,56.587547302246094,0.00015291245403441583,0.012365777534567563,0.005962504539638758,-7.946378173073754e-05,0.0032501667737960815,0.5239971862280741,12.8s,48.33%,-5.43%
3F+vix_lag+d_iv_lag+theta,57.740447998046875,0.00015602785456081194,0.012491111021875194,0.006248671095818281,-7.966937846504152e-05,0.0035294294357299805,0.5142992226059786,12.8s,47.27%,-2.04%
3F+vix_lag+d_iv_lag+vega,61.07124328613281,0.0001650284228071631,0.012846338887292483,0.006616014521569014,0.0001292191445827484,0.003856077790260315,0.4862812574385036,12.8s,44.23%,-5.77%
3F+vix_lag+d_iv_lag+rho,56.628108978271484,0.00015302206093057027,0.012370208604973898,0.005988304037600756,0.0006672827294096351,0.0032778680324554443,0.523655989748639,13.0s,48.29%,7.28%
