combo_name,n_features,features,SSE,RMSE,Gain_vs_HW_%,training_time_s,epochs_run
3F+iv_lag+rho,5,"delta, T, spy_ret, iv_lag, rho",62.17444610595703,0.012961848955384495,43.2237940733719,12.904961307000008,100
3F+d_iv_lag+gamma+theta,6,"delta, T, spy_ret, d_iv_lag, gamma, theta",62.35418701171875,0.01298057122195151,43.05965900956169,12.925657156999932,100
3F+iv_lag+vix_mom_lag+rho,6,"delta, T, spy_ret, iv_lag, vix_mom_lag, rho",63.51645278930664,0.013100989900028824,41.99830590932908,12.92783446999988,100
3F+d_iv_lag+vix_mom_lag+rho,6,"delta, T, spy_ret, d_iv_lag, vix_mom_lag, rho",63.88843536376953,0.013139296711926329,41.65862038623121,12.923802826999918,100
3F+d_iv_lag+vega,5,"delta, T, spy_ret, d_iv_lag, vega",64.16775512695312,0.013167987840419206,41.403552309438666,12.881795161000014,100
3F+d_iv_lag+theta,5,"delta, T, spy_ret, d_iv_lag, theta",64.67745208740234,0.013220182342041661,40.93810932764958,12.997935361000032,100
3F+iv_lag+vix_mom_lag,5,"delta, T, spy_ret, iv_lag, vix_mom_lag",65.14122772216797,0.013267495945232884,40.514600593879244,12.702907221999965,100
3F+iv_lag+vega+rho,6,"delta, T, spy_ret, iv_lag, vega, rho",65.7316665649414,0.013327488473914007,39.97542607084038,12.81962364800006,100
3F+d_iv_lag+theta+vega,6,"delta, T, spy_ret, d_iv_lag, theta, vega",66.13902282714844,0.01336872164848667,39.603438148516915,12.936157919999914,100
3F+iv_lag,4,"delta, T, spy_ret, iv_lag",66.27460479736328,0.013382417267039612,39.47962796052204,12.703288321000002,100
3F+d_iv_lag+gamma+vega,6,"delta, T, spy_ret, d_iv_lag, gamma, vega",67.09683990478516,0.013465175774133397,38.72878267434883,12.942803620999939,100
3F+d_iv_lag+vega+rho,6,"delta, T, spy_ret, d_iv_lag, vega, rho",67.36637115478516,0.013492193799209356,38.48265323191548,12.881585062000113,100
3F+d_iv_lag,4,"delta, T, spy_ret, d_iv_lag",68.19649505615234,0.013575068233874735,37.72460408921272,12.697656013000028,100
3F+vix_mom+gamma+theta,6,"delta, T, spy_ret, vix_mom, gamma, theta",78.82933044433594,0.014595027335404534,28.014955038947853,12.842292674999953,100
3F+vix_mom+theta+vega,6,"delta, T, spy_ret, vix_mom, theta, vega",81.99433135986328,0.014885139467735797,25.124752471936485,12.830172699000059,100
3F+vix_mom_lag+vix_mom+theta,6,"delta, T, spy_ret, vix_mom_lag, vix_mom, theta",82.3227767944336,0.01491492244094605,24.824824015846257,12.992476721999992,100
3F+vix_mom_lag+theta,5,"delta, T, spy_ret, vix_mom_lag, theta",82.64990997314453,0.01494452742144819,24.52609388018454,12.781059937000009,100
3F+vix_lag+vix_mom_lag+vix_mom,6,"delta, T, spy_ret, vix_lag, vix_mom_lag, vix_mom",83.20630645751953,0.014994746079955795,24.018006018494688,12.751132140999971,100
3F+vix_lag+vix_mom+theta,6,"delta, T, spy_ret, vix_lag, vix_mom, theta",83.56627655029297,0.015027146477675533,23.68929000420318,12.725864177999938,100
3F+vix_lag+vix_mom_lag+theta,6,"delta, T, spy_ret, vix_lag, vix_mom_lag, theta",83.72444152832031,0.015041360613046314,23.544857557671083,12.727626450999992,100
3F+vix_mom+theta,5,"delta, T, spy_ret, vix_mom, theta",83.87618255615234,0.015054984820446716,23.406291307655323,12.781084598999996,100
3F+vix_lag+vix_mom+vega,6,"delta, T, spy_ret, vix_lag, vix_mom, vega",85.72579956054688,0.015220074072695615,21.717265630644345,12.932331952999903,100
3F+vix_mom_lag+gamma+theta,6,"delta, T, spy_ret, vix_mom_lag, gamma, theta",86.18135833740234,0.015260461279229812,21.301260333510687,12.807341110999914,100
3F+vix_lag+gamma+rho,6,"delta, T, spy_ret, vix_lag, gamma, rho",86.18880462646484,0.015261120536368755,21.294460561776795,13.171924950999937,100
3F+vix_lag+vix_mom,5,"delta, T, spy_ret, vix_lag, vix_mom",86.68656921386719,0.015305125723906353,20.83991393551211,12.61064647400002,100
3F+vix_mom_lag+vix_mom+rho,6,"delta, T, spy_ret, vix_mom_lag, vix_mom, rho",86.72130584716797,0.01530819191567896,20.808193279052666,12.864463927000088,100
3F+vix_mom_lag+vix_mom,5,"delta, T, spy_ret, vix_mom_lag, vix_mom",86.76671600341797,0.015312199330023441,20.766725818642705,12.951115528999935,100
3F+vix_lag+gamma+theta,6,"delta, T, spy_ret, vix_lag, gamma, theta",87.04769897460938,0.015336972594713312,20.510138940376798,12.849842228999933,100
3F+vix_mom+gamma+rho,6,"delta, T, spy_ret, vix_mom, gamma, rho",87.77706146240234,0.015401091912528517,19.844102692437893,12.864689360000057,100
3F+vix_lag+theta,5,"delta, T, spy_ret, vix_lag, theta",88.03583526611328,0.01542377703135114,19.607796690726666,12.64884315400002,100
3F+vix_lag+gamma+vega,6,"delta, T, spy_ret, vix_lag, gamma, vega",88.06999206542969,0.015426768857148708,19.57660552468913,12.877396110999825,100
3F+vix_mom_lag+vix_mom+vega,6,"delta, T, spy_ret, vix_mom_lag, vix_mom, vega",88.13806915283203,0.015432730062524377,19.514439168970355,12.857004224000093,100
3F+vix_lag+vix_mom_lag+gamma,6,"delta, T, spy_ret, vix_lag, vix_mom_lag, gamma",88.16128540039062,0.015434762478789528,19.493238651156595,12.80091495399995,100
3F+vix_mom+theta+rho,6,"delta, T, spy_ret, vix_mom, theta, rho",88.25940704345703,0.015443349372032969,19.40363633120824,12.863669947000062,100
3F+vix_mom_lag+gamma+rho,6,"delta, T, spy_ret, vix_mom_lag, gamma, rho",88.53546142578125,0.01546748207383848,19.151550121528505,12.744322870999895,100
3F+vix_lag+theta+vega,6,"delta, T, spy_ret, vix_lag, theta, vega",88.55250549316406,0.015468970833911624,19.135985889916295,12.865133069999956,100
3F+vix_mom+gamma+vega,6,"delta, T, spy_ret, vix_mom, gamma, vega",88.55282592773438,0.015468998821761943,19.135693276788402,12.786711840999942,100
3F+vix_mom_lag+theta+vega,6,"delta, T, spy_ret, vix_mom_lag, theta, vega",88.58126068115234,0.01547148220870131,19.109727345177518,12.829918075000023,100
3F+vix_lag+vix_mom_lag,5,"delta, T, spy_ret, vix_lag, vix_mom_lag",88.83820343017578,0.015493904595731273,18.875093418482823,12.716160172000002,100
3F+vix_lag+vix_mom_lag+vega,6,"delta, T, spy_ret, vix_lag, vix_mom_lag, vega",88.97591400146484,0.015505908711889874,18.749339443281233,12.927963832999922,100
3F+vix_mom+gamma,5,"delta, T, spy_ret, vix_mom, gamma",89.08425903320312,0.015515346530402574,18.650401371157255,12.878273930999967,100
3F+vix_lag+vix_mom_lag+rho,6,"delta, T, spy_ret, vix_lag, vix_mom_lag, rho",89.2383804321289,0.015528761995601718,18.509661423619995,12.980669131000013,100
3F+gamma+theta,5,"delta, T, spy_ret, gamma, theta",89.52205657958984,0.015553424277018566,18.25061520168395,12.938045874000068,100
3F+vix_mom+vega,5,"delta, T, spy_ret, vix_mom, vega",89.7286376953125,0.015571359478653006,18.06197030492308,12.88118633199997,100
3F+vix_lag+theta+rho,6,"delta, T, spy_ret, vix_lag, theta, rho",89.94795227050781,0.0155903776091691,17.861697519818097,12.894158206999919,100
3F+gamma+theta+rho,6,"delta, T, spy_ret, gamma, theta, rho",90.1192855834961,0.015605218860046125,17.705240067125448,12.857023782999931,100
3F+vix_lag+vega+rho,6,"delta, T, spy_ret, vix_lag, vega, rho",90.20196533203125,0.01561237570648321,17.62973891314985,12.97089895399995,100
3F+vix_lag+vix_mom+gamma,6,"delta, T, spy_ret, vix_lag, vix_mom, gamma",90.42124938964844,0.01563134129619009,17.4294939959618,12.947764137999911,100
3F+gamma+theta+vega,6,"delta, T, spy_ret, gamma, theta, vega",91.07138061523438,0.01568743553009741,16.83580982738403,12.831349546999945,100
3F+vix_mom_lag+vix_mom+gamma,6,"delta, T, spy_ret, vix_mom_lag, vix_mom, gamma",91.09760284423828,0.015689693813202916,16.811864319751457,12.80698110100002,100
