model,mean,std,skew,kurtosis,pct_within_1std,q05,q25,q50,q75,q95
3F+vix_mom_lag+vega,0.0012201372301205993,0.010246848687529564,3.641496181488037,71.83304595947266,80.1404720591776,-0.01261322945356369,-0.00387563556432724,0.0010153800249099731,0.005955606698989868,0.015063948929309845
3F+vix_mom_lag+rho,-0.0011995757231488824,0.010115429759025574,3.8356547355651855,79.8843002319336,80.24424869864094,-0.015301577746868134,-0.006098337471485138,-0.001265197992324829,0.003536731004714966,0.012282557785511017
3F+vix_mom+gamma,0.00044318687287159264,0.009425790049135685,6.045597553253174,156.55877685546875,82.66681057027338,-0.011789433658123016,-0.003929793834686279,0.0002824068069458008,0.004487462341785431,0.012511178851127625
3F+vix_mom+theta,0.0013522451044991612,0.009309133514761925,5.612637996673584,131.8110809326172,82.3264231928336,-0.010340683162212372,-0.003075540065765381,0.0008916109800338745,0.005078136920928955,0.014093250036239624
3F+vix_mom+vega,0.0005962771829217672,0.010300765745341778,3.8855061531066895,90.04032897949219,80.06658309187968,-0.013524971902370453,-0.004615567624568939,0.0004608333110809326,0.00548306480050087,0.014604166150093079
3F+vix_mom+rho,0.001098731765523553,0.009452834725379944,5.6812052726745605,143.65643310546875,82.43933217656972,-0.011331908404827118,-0.0032747089862823486,0.0009476393461227417,0.005170688033103943,0.013048060238361359
3F+gamma+theta,7.668211037525907e-05,0.009752102196216583,4.069357395172119,90.33155059814453,81.97441283177392,-0.01286095380783081,-0.004492424428462982,-8.270144462585449e-05,0.004329800605773926,0.013063419610261917
3F+gamma+vega,0.0008048683521337807,0.011173529550433159,3.6516940593719482,77.97445678710938,79.21810528762734,-0.015029095113277435,-0.004889540374279022,0.0007377862930297852,0.0062981173396110535,0.01601911336183548
3F+gamma+rho,0.0001508515706518665,0.010858931578695774,4.013850688934326,87.3399658203125,80.50410540385717,-0.014664970338344574,-0.005262322723865509,6.935000419616699e-05,0.005373358726501465,0.014501377940177917
3F+theta+vega,0.001219919533468783,0.009764904156327248,4.79706335067749,112.91471862792969,82.31978148790795,-0.011327080428600311,-0.00337112694978714,0.0010357499122619629,0.005453422665596008,0.013798192143440247
3F+theta+rho,-0.002427116734907031,0.009417977184057236,4.882432460784912,121.73834991455078,80.65769483026293,-0.014867939054965973,-0.006579756736755371,-0.002400800585746765,0.0016361065208911896,0.009240858256816864
