Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental,rank,added_features
3F+vix_mom_lag+gamma+rho,13.024009704589844,0.0001081270367584,0.0103984151080071,0.0067464006133377,4.4767995859729126e-05,0.0049163401126861,-0.360775093924887,12.3s,-55.52%,-11.71%,214,3
3F+vix_mom_lag+theta+vega,13.475894927978516,0.0001118786471509,0.0105772703071702,0.0070252469740808,0.0026387884281575,0.0052378177642822,-0.4079889835984553,12.1s,-60.92%,-3.47%,220,3
3F+vix_mom_lag+theta+rho,14.178428649902344,0.0001177111742526,0.0108494780636038,0.0073313284665346,0.000632157025393,0.0054752379655838,-0.4813911395488914,12.2s,-69.30%,-5.21%,228,3
3F+vix_mom_lag+vega+rho,14.786173820495604,0.0001227567543689,0.011079564719291,0.0074706627056002,0.0017506185686215,0.0056476444005966,-0.5448895943530978,12.1s,-76.56%,-4.29%,233,3
3F+vix_mom+gamma+theta,10.2515869140625,8.511001912862906e-05,0.0092255091528126,0.0057909707538783,0.0015365512808784,0.0041301101446151,-0.0711067069418973,12.4s,-22.41%,30.67%,116,3
3F+vix_mom+gamma+vega,10.35676383972168,8.598321176014877e-05,0.0092727132900866,0.0056588393636047,0.0013873330317437,0.0040702223777771,-0.0820958066230932,12.6s,-23.67%,-1.03%,121,3
3F+vix_mom+gamma+rho,13.520709991455078,0.0001122507076857,0.0105948434479108,0.0069695352576673,0.0015416581882163,0.0051646828651428,-0.4126713528222803,12.0s,-61.45%,-30.55%,221,3
3F+vix_mom+theta+vega,11.094629287719728,9.210906748569732e-05,0.0095973468982681,0.0062457011081278,-0.0005935141816735,0.0045850425958633,-0.1591894933660955,11.9s,-32.48%,17.94%,158,3
3F+vix_mom+theta+rho,10.888410568237305,9.039701262951162e-05,0.0095077343583795,0.0061368346214294,-0.000150314241182,0.0044570267200469,-0.1376433410107369,12.2s,-30.02%,1.86%,143,3
3F+vix_mom+vega+rho,11.991524696350098,9.955521080231876e-05,0.0099777357552863,0.0064389579929411,0.000902458676137,0.0047532171010971,-0.2528989547073046,12.6s,-43.19%,-10.13%,191,3
3F+gamma+theta+vega,12.67287826538086,0.0001052118974967,0.0102572850938612,0.0067239729687571,-0.0006819076370447,0.0049286782741546,-0.3240881650905818,12.3s,-51.33%,-5.68%,208,3
3F+gamma+theta+rho,16.73185920715332,0.0001389100896393,0.0117860124571197,0.0080637894570827,0.0009137522429227,0.0059925019741058,-0.7481787714061805,12.1s,-99.79%,-32.03%,248,3
3F+gamma+vega+rho,15.276905059814451,0.0001268308694806,0.0112619212162337,0.0075283204205334,-5.0975268095498905e-05,0.0057229697704315,-0.5961621949901081,12.0s,-82.42%,8.70%,239,3
3F+theta+vega+rho,12.383882522583008,0.0001028126169362,0.0101396556616192,0.0065681743435561,-0.0010848419042304,0.0048603937029838,-0.2938933005312405,12.2s,-47.88%,18.94%,200,3
3F+iv_lag+vix_lag+vix_mom_lag+vix_mom,8.933213233947754,7.416470792229e-05,0.0086118933993803,0.0060931546613574,0.0014088955940678,0.0046063959598541,0.0666396637287271,12.7s,-6.67%,27.86%,55,4
3F+iv_lag+vix_lag+vix_mom_lag+gamma,10.332683563232422,8.578329414643649e-05,0.0092619271291905,0.0066507859155535,-0.0004739555297419,0.0050088316202163,-0.0795798502283542,12.4s,-23.38%,-15.67%,119,4
3F+iv_lag+vix_lag+vix_mom_lag+theta,9.104793548583984,7.5589190198371e-05,0.0086942044028404,0.0061223180964589,0.0009448066703043,0.0045171156525611,0.0487126025501335,12.1s,-8.72%,11.88%,59,4
