Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
3F+theta+rho,49.51948165893555,0.00020631999791234453,0.014363843424109877,0.006895583122968674,-0.0005113994120620191,0.00412498414516449,0.25976253525344906,8.0s,20.34%,14.43%
3F+vega+rho,60.74050521850586,0.00025307173035838,0.01590822838528477,0.007809385657310486,3.072992694796994e-05,0.005035400390625,0.09202608581307348,8.1s,2.29%,-22.66%
3F+vix_lag+iv_lag+d_iv_lag,27.120285034179688,0.00011299506707628207,0.010629913784988195,0.006618206854909658,-0.00015709354192949831,0.004288733005523682,0.5945948874187683,8.1s,56.37%,55.35%
3F+vix_lag+iv_lag+vix_mom_lag,29.03034210205078,0.00012095320712649223,0.010997872845532096,0.006639228202402592,-0.0004797512083314359,0.004384711384773254,0.5660425731764605,8.1s,53.30%,-7.04%
3F+vix_lag+iv_lag+vix_mom,27.06976890563965,0.00011278459460795727,0.010620009162329252,0.006052771117538214,-0.0003995151782874018,0.0037986785173416138,0.595350023168711,8.3s,56.45%,6.75%
3F+vix_lag+iv_lag+gamma,26.701156616210938,0.00011124879325791076,0.010547454349648107,0.006352939642965794,7.177872612373903e-05,0.0040410906076431274,0.6008601904293551,8.3s,57.05%,1.36%
3F+vix_lag+iv_lag+theta,26.46339988708496,0.00011025819387735231,0.010500390177386376,0.00614712480455637,-4.037836697534658e-05,0.003844037652015686,0.6044142752561474,8.2s,57.43%,0.89%
3F+vix_lag+iv_lag+vega,31.360919952392578,0.00013066342219959993,0.011430810216235765,0.006840136833488941,-0.00047672115033492446,0.004484206438064575,0.5312041422895294,8.3s,49.55%,-18.51%
3F+vix_lag+iv_lag+rho,31.40753936767578,0.0001308576592421068,0.011439303267336992,0.006883422844111919,0.00025511858984827995,0.004494786262512207,0.5305072562030617,8.2s,49.48%,-0.15%
3F+vix_lag+d_iv_lag+vix_mom_lag,27.62146759033203,0.00011508321461892494,0.010727684494751182,0.006091178860515356,0.00030109533690847456,0.003851085901260376,0.5871030055913975,8.0s,55.57%,12.05%
3F+vix_lag+d_iv_lag+vix_mom,30.54448127746582,0.00012726177864309774,0.011281036239774151,0.00661831721663475,-0.0006080738385207951,0.004280015826225281,0.5434086015165327,8.1s,50.87%,-10.58%
3F+vix_lag+d_iv_lag+gamma,32.3426628112793,0.0001347537958830534,0.011608350265350086,0.006892559118568897,7.815899152774364e-05,0.004486799240112305,0.5165286485131482,8.1s,47.97%,-5.89%
3F+vix_lag+d_iv_lag+theta,27.268163681030273,0.00011361119473124486,0.010658855226113397,0.0058291698805987835,0.0009642137447372079,0.003527015447616577,0.5923843369249493,8.1s,56.14%,15.69%
3F+vix_lag+d_iv_lag+vega,32.04532241821289,0.00013351494468305004,0.01155486670987814,0.006827103439718485,-0.000794645631685853,0.004455208778381348,0.5209734143175677,8.1s,48.45%,-17.52%
3F+vix_lag+d_iv_lag+rho,29.253889083862305,0.00012188460243346112,0.011040135978938896,0.006330947857350111,-0.0007461528293788433,0.004177123308181763,0.5627009014641507,8.1s,52.94%,8.71%
3F+vix_lag+vix_mom_lag+vix_mom,49.03544235229492,0.00020430327670707387,0.014293469722466756,0.007457386702299118,-0.00024395105720032007,0.004828706383705139,0.26699815277572336,8.2s,21.12%,-67.62%
3F+vix_lag+vix_mom_lag+gamma,49.610496520996094,0.00020669920596382734,0.014377037454351552,0.007179704029113054,0.0008921131957322359,0.004515916109085083,0.2584020078713172,8.1s,20.20%,-1.17%
3F+vix_lag+vix_mom_lag+theta,49.168182373046875,0.00020485633016981112,0.014312803015825066,0.00738206272944808,-0.0005358777125366032,0.00462949275970459,0.26501390065635366,8.1s,20.91%,0.89%
3F+vix_lag+vix_mom_lag+vega,50.15114212036133,0.0002089517739470834,0.014455164265655488,0.006913850083947182,-7.584675040561706e-05,0.00422339141368866,0.250320216334061,8.2s,19.33%,-2.00%
3F+vix_lag+vix_mom_lag+rho,48.05179214477539,0.00020020495616810503,0.014149380063031208,0.006759095937013626,-7.299938442884013e-05,0.00407080352306366,0.2817021583795519,8.3s,22.70%,4.19%
3F+vix_lag+vix_mom+gamma,50.83315658569336,0.00021179334696742826,0.01455312155406627,0.0070054177194833755,0.00022298836847767234,0.004288166761398315,0.24012518517006332,8.3s,18.23%,-5.79%
3F+vix_lag+vix_mom+theta,49.82682418823242,0.00020760052242267053,0.014408349052638561,0.007248811423778534,-0.0008242271142080426,0.0044604092836380005,0.25516825342589566,8.3s,19.85%,1.98%
3F+vix_lag+vix_mom+vega,50.14976501464844,0.0002089460363174013,0.014454965801322441,0.006688963621854782,6.686501728836447e-05,0.003934532403945923,0.25034080187347796,8.2s,19.33%,-0.65%
3F+vix_lag+vix_mom+rho,51.056907653808594,0.0002127255925879373,0.014585115446507008,0.007125450763851404,-0.00020982552086934447,0.004413530230522156,0.23678046269221675,8.1s,17.87%,-1.81%
3F+vix_lag+gamma+theta,49.719757080078125,0.00020715443363517028,0.014392860509126401,0.007853572256863117,0.00022454652935266495,0.0051836371421813965,0.25676873634782427,8.1s,20.02%,2.62%
3F+vix_lag+gamma+vega,56.810672760009766,0.00023669831534129304,0.015385002936018343,0.008364972658455372,-0.0007109413854777813,0.0056372880935668945,0.15077082865976965,8.2s,8.61%,-14.26%
3F+vix_lag+gamma+rho,52.228492736816406,0.0002176069326945474,0.01475150611614107,0.007545713800936937,-0.000694486778229475,0.00482766330242157,0.21926712970634754,8.2s,15.98%,8.07%
3F+vix_lag+theta+vega,50.19750213623047,0.00020914493021724018,0.01446184394250056,0.007501046638935804,0.0010277667315676808,0.004794716835021973,0.24962720785612613,8.3s,19.25%,3.89%
3F+vix_lag+theta+rho,47.786678314208984,0.0001991003750388895,0.014110293230081701,0.007216245401650667,-4.544929106486961e-05,0.004539415240287781,0.2856651883474214,8.3s,23.13%,4.80%
3F+vix_lag+vega+rho,59.091880798339844,0.0002462028340062407,0.01569085192098379,0.00834008026868105,1.9477889509289525e-05,0.0054931640625,0.1166703979144853,8.2s,4.94%,-23.66%
3F+iv_lag+d_iv_lag+vix_mom_lag,26.435609817504883,0.00011014240819249325,0.01049487533001194,0.00621593976393342,-0.0009341959957964718,0.003932863473892212,0.6048296925820551,8.3s,57.48%,55.26%
3F+iv_lag+d_iv_lag+vix_mom,23.97115135192871,9.987438743705012e-05,0.009993717398298298,0.005553082562983036,1.4592436855309643e-05,0.0032806396484375,0.6416694256611692,8.2s,61.44%,9.32%
3F+iv_lag+d_iv_lag+gamma,29.358781814575195,0.00012232163180567383,0.011059911021598402,0.006990731693804264,-0.001250006607733667,0.004673182964324951,0.5611329220255121,8.2s,52.77%,-22.48%
3F+iv_lag+d_iv_lag+theta,26.183853149414062,0.00010909347889245192,0.010444782376500332,0.0061293672770261765,0.00041445487295277417,0.0038126111030578613,0.6085930542223108,8.2s,57.88%,10.81%
3F+iv_lag+d_iv_lag+vega,31.9605770111084,0.00013316185794564627,0.011539577892871397,0.007292140740901232,-0.0010208473540842533,0.005030736327171326,0.5222402233228801,8.1s,48.59%,-22.06%
3F+iv_lag+d_iv_lag+rho,29.465009689331055,0.0001227642239767473,0.01107990180356971,0.006710908841341734,0.00042769426363520324,0.004329055547714233,0.5595449843076604,8.1s,52.60%,7.81%
3F+iv_lag+vix_mom_lag+vix_mom,30.955114364624023,0.00012897265716700355,0.01135661292670502,0.006254938896745443,-2.8538699552882463e-05,0.0038783177733421326,0.5372702901853965,8.2s,50.20%,-5.06%
3F+iv_lag+vix_mom_lag+gamma,35.8050651550293,0.00014917969091269762,0.012213913824515777,0.007709084544330835,-0.0008627651841379702,0.005278348922729492,0.46477124219531496,8.2s,42.40%,-15.67%
3F+iv_lag+vix_mom_lag+theta,31.6384334564209,0.00013181966583652093,0.011481274573692633,0.0067634801380336285,-0.0001999645319301635,0.004313677549362183,0.5270557569314248,8.1s,49.11%,11.64%
