,extra_features,avg_gain,avg_marginal_gain,avg_median_marginal,avg_std,n_features,gain_A,gain_B,gain_C
83,rho+theta+vix_mom,19.926666666666666,6.452864583333333,6.05,8.343983897554393,3,30.75,8.56,20.47
84,gamma+rho+theta+vega+vix_mom_lag,19.603333333333335,5.3074062500000005,4.838,8.533540724778954,5,30.1,5.7,23.01
85,gamma+vix_mom+vix_mom_lag,19.57,7.722899305555555,7.183333333333333,8.559699473997172,3,29.02,9.98,19.71
86,gamma+vega+vix_mom_lag,19.52,5.490468749999999,4.996666666666667,8.610814552368774,3,23.99,7.29,27.28
87,gamma+rho+vega+vix_mom_lag,19.52,4.993515625,4.58625,8.541170402422901,4,25.31,9.98,23.27
88,gamma+rho+vega+vix_mom,19.013333333333335,5.447109375,5.12125,8.468115690736273,4,27.26,7.75,22.03
89,gamma+vega+vix_mom,18.48,6.095260416666666,5.710000000000001,8.513408270119935,3,23.0,11.01,21.43
90,vix_lag+vix_mom,17.28,8.80125,8.274999999999999,8.317197105212138,2,24.57,7.72,19.55
91,theta+vega+vix_lag,17.256666666666668,5.822725694444443,5.278333333333333,8.430253819914078,3,25.17,10.33,16.27
92,theta+vix_mom_lag,16.57,7.020781249999999,6.3275,8.495966293412204,2,26.12,6.39,17.2
93,vix_mom+vix_mom_lag,16.43,8.385781249999999,7.879999999999999,8.342801149247999,2,26.08,3.43,19.78
94,theta+vix_lag,16.05,7.436249999999999,6.7225,8.470362249376343,2,26.12,-1.87,23.9
95,rho+theta+vix_lag,16.0,6.125052083333332,5.599999999999999,8.424320817112658,3,26.24,4.93,16.83
96,theta+vega+vix_mom_lag,15.97,5.545746527777777,5.015,8.44732318260465,3,25.17,7.95,14.79
97,gamma+vix_lag,15.57,7.3533333333333335,6.695,8.715599304022529,2,22.87,5.96,17.88
98,gamma+theta+vega,15.483333333333334,5.185260416666666,4.675000000000001,8.615518366229406,3,18.42,5.19,22.84
99,rho+vega+vix_mom,15.283333333333331,5.130434027777778,4.898333333333333,8.292988879816521,3,20.24,12.83,12.78
100,gamma+vix_mom_lag,15.143333333333333,6.937864583333333,6.3,8.741203348058388,2,20.51,4.62,20.3
101,gamma+vix_mom,15.123333333333333,7.845052083333334,7.37,8.59509392468513,2,22.21,0.16,23.0
102,gamma+rho+theta,14.423333333333332,5.487586805555555,4.996666666666667,8.609585363427986,3,23.95,1.89,17.43
103,rho+theta+vix_mom_lag,14.200000000000001,5.848072916666666,5.336666666666666,8.44139017980323,3,25.79,2.26,14.55
104,theta+vix_mom,13.526666666666666,7.92796875,7.3975,8.349856870038947,2,30.16,-0.35,10.77
105,rho+theta,12.706666666666665,5.0328124999999995,4.6,8.417629983394217,2,22.33,-2.41,18.2
106,rho+vega+vix_lag,12.413333333333332,4.802621527777777,4.448333333333333,8.373325799374788,3,19.36,9.27,8.61
107,vega+vix_mom,12.306666666666667,5.944322916666667,5.67,8.273364343432142,2,16.83,10.02,10.07
108,rho+vix_lag,12.049999999999999,5.906093749999999,5.477499999999999,8.38497021856741,2,21.63,3.07,11.45
109,rho+vega+vix_mom_lag,11.053333333333335,4.52564236111111,4.185,8.390395162065362,3,17.23,8.96,6.97
110,vega+vix_lag,10.903333333333334,5.452604166666666,4.994999999999999,8.39386972276954,2,19.26,8.28,5.17
111,gamma+rho,10.886666666666668,4.949895833333334,4.5725,8.662867038040403,2,15.23,0.59,16.84
112,vega+vix_mom_lag,10.806666666666667,5.037135416666667,4.6,8.4194737668054,2,16.46,7.83,8.13
113,gamma+rho+vega,10.673333333333332,4.16515625,3.845,8.558590345690117,3,14.78,5.72,11.52
114,rho+theta+vega,10.666666666666666,4.220434027777777,3.8633333333333333,8.395098975925995,3,22.74,1.99,7.27
115,rho+vix_mom_lag,10.65,5.490625,5.0825,8.41057426260327,2,20.44,-3.93,15.44
116,rho+vix_mom,9.74,6.3978125,6.1525,8.264464839230012,2,15.39,2.23,11.6
117,gamma+theta,9.629999999999999,6.480052083333334,5.817500000000001,8.748259068849336,2,21.24,-4.78,12.43
118,gamma+vega,7.34,4.49640625,4.090000000000001,8.671766542242533,2,14.71,-0.45,7.76
