Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental,rank,added_features
3F+vix_mom+theta+rho,79.84180450439453,0.000210739457338,0.0145168680278525,0.0065874769352376,0.0004490641586016,0.003577709197998,0.3641398969088827,19.1s,30.75%,-0.80%,55,3
3F+vix_mom+vega+rho,91.95986938476562,0.0002427246364398,0.0155796224742386,0.0066849049180746,-0.0004364398773759,0.0034372061491012,0.2676316324485835,19.1s,20.24%,-15.18%,109,3
3F+gamma+theta+vega,94.06739807128906,0.0002482873795977,0.0157571374176186,0.0073972004465758,0.0006860638386569,0.0041893869638442,0.2508472747277291,19.2s,18.42%,-2.29%,112,3
3F+gamma+theta+rho,87.69097900390625,0.0002314570599129,0.0152137128904457,0.0070090806111693,-0.0001369077072013,0.0038503855466842,0.3016290739456444,18.8s,23.95%,6.78%,98,3
3F+gamma+vega+rho,98.25943756103516,0.0002593521110713,0.0161044127825673,0.0070755793713033,-0.0004928492126055,0.003777801990509,0.2174618737005608,19.2s,14.78%,-12.05%,118,3
3F+theta+vega+rho,89.07974243164062,0.0002351226490481,0.015333709565796,0.0068187024444341,-0.0009701397502794,0.0035098791122436,0.290568962493883,19.1s,22.74%,9.34%,101,3
3F+vix_lag+vix_mom_lag+vix_mom+gamma,75.63846588134766,0.0001996449022246,0.014129575443893,0.006284159142524,-0.0002680851321201,0.0033688843250274,0.3976152842296985,18.8s,34.40%,15.09%,37,4
3F+vix_lag+vix_mom_lag+vix_mom+theta,79.4822006225586,0.0002097902963392,0.014484139475275,0.0067827836610376,-0.0016189125599339,0.0037962645292282,0.3670037820977949,19.0s,31.07%,-5.08%,52,4
3F+vix_lag+vix_mom_lag+vix_mom+vega,76.59264373779297,0.0002021634189956,0.0142184183014731,0.0063347942195832,0.000558306579478,0.0034493952989578,0.3900162121153754,18.8s,33.57%,3.64%,39,4
3F+vix_lag+vix_mom_lag+vix_mom+rho,78.94619750976562,0.0002083755361666,0.0144352186047395,0.0065244426950812,-0.0005827274289913,0.0035618692636489,0.371272510700227,19.3s,31.53%,-3.07%,48,4
3F+vix_lag+vix_mom_lag+gamma+theta,84.59613037109375,0.0002232883226771,0.0149428351619493,0.0072727226652204,-0.0003624923992902,0.0043198466300964,0.3262764473727222,18.9s,26.63%,-7.16%,82,4
3F+vix_lag+vix_mom_lag+gamma+vega,85.59941101074219,0.0002259364444082,0.0150311824022023,0.0068291369825601,-0.0001171392141259,0.0037298500537872,0.3182863207101783,19.5s,25.76%,-1.19%,90,4
3F+vix_lag+vix_mom_lag+gamma+rho,75.95733642578125,0.0002004865491026,0.0141593272828431,0.0064728427678346,4.439378244569525e-05,0.0034793615341186,0.3950757993255828,19.1s,34.12%,11.26%,38,4
3F+vix_lag+vix_mom_lag+theta+vega,84.0494155883789,0.0002218452894523,0.0148944717748696,0.0069668949581682,-0.0009587345412001,0.0039363354444503,0.330630483710658,19.2s,27.10%,-10.65%,81,4
3F+vix_lag+vix_mom_lag+theta+rho,77.18888092041016,0.0002037371647431,0.0142736528171012,0.0065819318406283,0.0008494577486999,0.0035858154296875,0.3852677794019733,19.1s,33.05%,8.16%,41,4
3F+vix_lag+vix_mom_lag+vega+rho,87.09724426269531,0.0002298899192659,0.0151621211994217,0.0070608588866889,-0.0016852318076416,0.0040283203125,0.3063575772165641,18.8s,24.46%,-12.84%,96,4
3F+vix_lag+vix_mom+gamma+theta,69.99201202392578,0.0001847412984148,0.0135919571223134,0.006139971781522,0.0001056003457051,0.0032465308904647,0.4425836407713132,18.8s,39.30%,19.64%,17,4
3F+vix_lag+vix_mom+gamma+vega,77.90458679199219,0.0002056262436276,0.0143396737629437,0.0062439325265586,0.0002243242779513,0.0031908750534057,0.379567898091525,19.2s,32.43%,-11.30%,45,4
3F+vix_lag+vix_mom+gamma+rho,69.37264251708984,0.0001831064957625,0.0135316848826219,0.0061507816426455,0.0004919117200188,0.0033048689365386,0.4475162993066862,18.9s,39.83%,10.95%,14,4
3F+vix_lag+vix_mom+theta+vega,75.11505889892578,0.0001982633890671,0.0140806032920166,0.0063648545183241,0.000123205318232,0.0034286826848983,0.4017836972542696,19.2s,34.85%,-8.28%,35,4
3F+vix_lag+vix_mom+theta+rho,71.4140396118164,0.0001884946870569,0.0137293367304072,0.0061945989727973,-0.000521347625181,0.0033271163702011,0.4312586135597253,18.9s,38.06%,4.93%,22,4
3F+vix_lag+vix_mom+vega+rho,82.25949096679688,0.0002171208503472,0.0147350212197747,0.0065754069946706,-0.0017902936087921,0.0034519582986831,0.3448854427696286,19.1s,28.66%,-15.19%,73,4
3F+vix_lag+gamma+theta+vega,81.98868560791016,0.000216406069729,0.0147107467427417,0.0066737541928887,-0.000103460792161,0.0036794394254684,0.3470421365528943,19.3s,28.89%,0.33%,72,4
3F+vix_lag+gamma+theta+rho,77.0181655883789,0.000203286568008,0.0142578598677387,0.0065893358550965,-0.0003383775183465,0.003631941974163,0.3866273562464402,19.2s,33.20%,6.06%,40,4
3F+vix_lag+gamma+vega+rho,83.69656372070312,0.0002209139501424,0.0148631742956344,0.0067586069926619,-0.000410938024288,0.0036286413669586,0.3334405958611651,19.0s,27.41%,-8.67%,79,4
3F+vix_lag+theta+vega+rho,80.7977066040039,0.0002132625251844,0.0146035107143605,0.0066253319382667,-0.0013072893489152,0.0035778433084487,0.3565270929226053,19.2s,29.92%,3.46%,65,4
3F+vix_mom_lag+vix_mom+gamma+theta,72.22308349609375,0.0001906301281355,0.013806886982068,0.0062750042416155,-0.0012060881126672,0.0033257156610488,0.4248153883488833,19.5s,37.36%,10.61%,26,4
3F+vix_mom_lag+vix_mom+gamma+vega,78.14315795898438,0.0002062559433016,0.0143616135340588,0.006360697094351,-0.0001934860629262,0.0032858103513717,0.3776679174012104,19.3s,32.23%,-8.20%,46,4
3F+vix_mom_lag+vix_mom+gamma+rho,74.64930725097656,0.0001970340550089,0.0140368819546571,0.0063120094127953,-0.0006635484169237,0.0032433271408081,0.4054929432153069,19.4s,35.26%,4.47%,33,4
3F+vix_mom_lag+vix_mom+theta+vega,73.03367614746094,0.0001927696571271,0.0138841512930069,0.0063743717037141,0.0006861925940029,0.0035106539726257,0.4183598287574807,19.2s,36.66%,2.16%,29,4
3F+vix_mom_lag+vix_mom+theta+rho,71.37434387207031,0.0001883899116362,0.0137255204504695,0.0061777154915034,0.0006864733877591,0.0033260583877563,0.4315747504171512,19.0s,38.10%,2.27%,21,4
3F+vix_mom_lag+vix_mom+vega+rho,77.54871368408203,0.000204686929867,0.0143068840027119,0.0062403534539043,-0.000761842529755,0.003168299794197,0.3824020713981998,19.2s,32.74%,-8.65%,42,4
3F+vix_mom_lag+gamma+theta+vega,80.6929931640625,0.0002129861379754,0.014594044606463,0.006684273481369,0.0003489779192022,0.0036792755126953,0.3573610307216002,19.6s,30.01%,-4.05%,64,4
3F+vix_mom_lag+gamma+theta+rho,79.291259765625,0.0002092863150874,0.0144667313200839,0.0066782063804566,0.0006938896258361,0.0036437362432479,0.3685244350154957,19.3s,31.23%,1.74%,51,4
3F+vix_mom_lag+gamma+vega+rho,86.1172866821289,0.0002273033578771,0.0150765830968809,0.0067593497224152,0.0013091770233586,0.0036470144987106,0.3141619590447526,19.5s,25.31%,-8.61%,91,4
3F+vix_mom_lag+theta+vega+rho,80.86190032958984,0.0002134319621226,0.0146093108024516,0.0066587049514055,0.0008593618986196,0.0035772770643234,0.3560158541145367,19.5s,29.87%,6.10%,66,4
3F+vix_mom+gamma+theta+vega,79.0469970703125,0.0002086415928373,0.0144444312050465,0.0064254468306899,4.841311692871386e-06,0.0034131556749343,0.3704697430353586,19.2s,31.44%,2.24%,49,4
3F+vix_mom+gamma+theta+rho,77.86727142333984,0.0002055277511074,0.0143362390851817,0.0064063896425068,0.0003333378408569,0.0033869445323944,0.3798650776743945,19.5s,32.47%,1.49%,43,4
3F+vix_mom+gamma+vega+rho,83.86766815185547,0.00022136557389,0.0148783592472441,0.0064696217887103,-0.0002052589115919,0.003360092639923,0.3320779202314343,19.6s,27.26%,-7.71%,80,4
3F+vix_mom+theta+vega+rho,74.4755630493164,0.0001965754636857,0.0140205372110268,0.0061246021650731,-0.0006599530461244,0.0030807852745056,0.4068766419764368,19.3s,35.41%,11.20%,32,4
3F+gamma+theta+vega+rho,84.64781951904297,0.0002234247542503,0.0149473995815428,0.0067220237106084,0.0003693870385177,0.0035698413848876,0.3258647950165699,19.5s,26.58%,-13.66%,83,4
3F+vix_lag+vix_mom_lag+vix_mom+gamma+theta,63.73714065551758,0.0001682317993362,0.0129704201680678,0.0058937822468578,-0.000494877283927,0.0029813200235366,0.4923974341571929,19.1s,44.72%,24.70%,4,5
3F+vix_lag+vix_mom_lag+vix_mom+gamma+vega,65.8711929321289,0.0001738645505183,0.0131857707593577,0.0060954224318265,-0.0005661828326992,0.0032333880662918,0.4754018425741743,18.7s,42.87%,-3.35%,6,5
3F+vix_lag+vix_mom_lag+vix_mom+gamma+rho,62.752899169921875,0.0001656339307402,0.0128698846436281,0.0060391505248844,0.000654496892821,0.0032408386468887,0.5002359330035335,18.9s,45.57%,4.73%,1,5
3F+vix_lag+vix_mom_lag+vix_mom+theta+vega,63.24397659301758,0.0001669301112349,0.012920143622844,0.0058973836712539,-0.0002904554421547,0.0030238330364227,0.4963249925781055,18.9s,45.15%,-0.78%,3,5
3F+vix_lag+vix_mom_lag+vix_mom+theta+rho,65.92699432373047,0.0001740118362047,0.0131913546008284,0.0061316429637372,-0.0003818028490059,0.0032515227794647,0.4749574403110159,19.2s,42.82%,-4.24%,7,5
3F+vix_lag+vix_mom_lag+vix_mom+vega+rho,69.61345672607422,0.000183742115862,0.0135551508977969,0.0061268610879778,-0.0005597762065008,0.0032198876142501,0.445598455030732,18.9s,39.62%,-5.59%,16,5
3F+vix_lag+vix_mom_lag+gamma+theta+vega,79.82965087890625,0.000210707378298,0.0145157630973397,0.0071859010495245,-3.1542072974843904e-05,0.0041740089654922,0.3642366883780119,19.4s,30.76%,-14.68%,54,5
3F+vix_lag+vix_mom_lag+gamma+theta+rho,68.65034484863281,0.0001812000180767,0.0134610556078158,0.0062306630425155,2.102776852552779e-05,0.0032601207494735,0.4532686776851369,18.9s,40.46%,14.00%,11,5
3F+vix_lag+vix_mom_lag+gamma+vega+rho,74.0401382446289,0.0001954261761963,0.0139794912710136,0.0067509748041629,-0.0016498521436005,0.003742903470993,0.4103443649683662,19.1s,35.78%,-7.85%,30,5
3F+vix_lag+vix_mom_lag+theta+vega+rho,71.70126342773438,0.0001892528035784,0.0137569183896107,0.0064716837368905,0.0009948097867891,0.0035159289836883,0.4289711631904169,19.1s,37.81%,3.16%,24,5
3F+vix_lag+vix_mom+gamma+theta+vega,69.60016632080078,0.0001837070363343,0.0135538568803981,0.0060352319851517,0.0010115163167938,0.0031215697526931,0.4457042998136719,18.7s,39.64%,2.93%,15,5
3F+vix_lag+vix_mom+gamma+theta+rho,68.34571838378906,0.0001803959679141,0.0134311566111834,0.006194619461894,0.0001089392608264,0.0032501220703125,0.4556947227443911,18.7s,40.72%,1.80%,9,5
3F+vix_lag+vix_mom+gamma+vega+rho,70.50181579589844,0.000186086906407,0.0136413674683672,0.0063862088136374,-0.0011338227195665,0.0034654438495635,0.4385235637099921,18.7s,38.85%,-3.15%,18,5
3F+vix_lag+vix_mom+theta+vega+rho,68.34683990478516,0.0001803989281268,0.0134312668102032,0.0061141913756728,-0.0005488923052325,0.0031059980392456,0.4556857909515713,19.4s,40.72%,3.06%,9,5
3F+vix_lag+gamma+theta+vega+rho,74.67767333984375,0.0001971089262398,0.0140395486480087,0.0066111572086811,0.0003393121005501,0.00360107421875,0.4052670356935099,19.1s,35.23%,-9.26%,34,5
3F+vix_mom_lag+vix_mom+gamma+theta+vega,69.17282104492188,0.000182579074459,0.0135121824461866,0.0060408213175833,-0.0010275591630488,0.0029775649309158,0.4491076774410012,19.5s,40.01%,7.37%,12,5
3F+vix_mom_lag+vix_mom+gamma+theta+rho,68.34162902832031,0.0001803851742132,0.0134307547894113,0.0060181114822626,0.0004365956119727,0.0030591934919357,0.4557272903699111,19.1s,40.73%,1.20%,8,5
3F+vix_mom_lag+vix_mom+gamma+vega+rho,71.51226806640625,0.0001887539573895,0.0137387756874325,0.0061675389297306,0.0003476569254416,0.0031671822071075,0.4304763221817975,19.0s,37.98%,-4.64%,23,5
3F+vix_mom_lag+vix_mom+theta+vega+rho,69.20744323730469,0.0001826704584411,0.013515563563579,0.006230873055756,-0.0013309983769431,0.003265380859375,0.4488319463129985,19.6s,39.98%,3.22%,13,5
3F+vix_mom_lag+gamma+theta+vega+rho,80.5893325805664,0.0002127125297416,0.0145846676253399,0.0068287723697721,0.0009644076926633,0.0037261694669723,0.3581865835722334,18.7s,30.10%,-16.45%,62,5
3F+vix_mom+gamma+theta+vega+rho,75.59769439697266,0.0001995372874162,0.014125766790383,0.0064975121058523,0.0014289814280346,0.0034804195165634,0.3979399883169719,18.8s,34.43%,6.19%,36,5
3F+vix_lag+vix_mom_lag+vix_mom+gamma+theta+vega,72.6663589477539,0.0001918001371141,0.0138491926520701,0.0063064759597182,-0.0001375396241201,0.0033670142292976,0.4212851428072151,18.8s,36.98%,3.88%,28,6
3F+vix_lag+vix_mom_lag+vix_mom+gamma+theta+rho,64.53490447998047,0.0001703374671188,0.0130513396675913,0.0060391006991267,0.000593100558035,0.0032843947410583,0.48604404333876,19.1s,44.03%,11.19%,5,6
3F+vix_lag+vix_mom_lag+vix_mom+gamma+vega+rho,70.57335662841797,0.0001862757357592,0.0136482869166508,0.0063403495587408,0.0013354275142773,0.0034419298171997,0.4379538125448792,19.0s,38.79%,-9.36%,20,6
3F+vix_lag+vix_mom_lag+vix_mom+theta+vega+rho,74.1347427368164,0.0001956758812157,0.013988419539597,0.0064517757855355,0.0004341720778029,0.0035290792584419,0.4095909348257407,18.8s,35.70%,-5.05%,31,6
3F+vix_lag+vix_mom_lag+gamma+theta+vega+rho,70.56307220458984,0.0001862485904071,0.0136472924203708,0.0064031602814793,-0.000106996485556,0.0034637451171875,0.438035717692642,18.8s,38.80%,4.82%,19,6
3F+vix_lag+vix_mom+gamma+theta+vega+rho,71.81877136230469,0.0001895629613775,0.0137681865682285,0.0063701695762574,0.0004279055283404,0.0034084171056747,0.4280353300406816,19.4s,37.71%,-1.78%,25,6
3F+vix_mom_lag+vix_mom+gamma+theta+vega+rho,72.58953094482422,0.0001915973524733,0.0138418695440093,0.0062447260133922,-0.000555862148758,0.0032253414392471,0.4218970009956214,18.9s,37.04%,-1.07%,27,6
3F+vix_lag+vix_mom_lag+vix_mom+gamma+theta+vega+rho,62.87795639038086,0.0001659640145972,0.0128827021465697,0.0059505309909582,-0.000925232481677,0.0030183643102645,0.4992399773436264,18.8s,45.47%,13.38%,2,7
Total,,,,,,,,2445.3s,,,,
