Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental,rank,added_features
3F+vix_lag+vega+rho,35.04686737060547,0.0002692433422239,0.0164086362085316,0.0082453778013587,0.0001975552149815,0.0049067586660385,0.1539000077359178,13.6s,9.27%,4.57%,79,3
3F+vix_mom_lag+vix_mom+gamma,34.77035903930664,0.0002671191002343,0.0163437786400319,0.0088151367381215,0.0007836844888515,0.0057634860277175,0.1605754601950187,13.4s,9.98%,0.79%,73,3
3F+vix_mom_lag+vix_mom+theta,34.63475799560547,0.0002660773615297,0.0163118779277481,0.008828179910779,0.0022219030652195,0.0057241059839725,0.1638491348665185,13.4s,10.33%,0.39%,69,3
3F+vix_mom_lag+vix_mom+vega,33.275123596191406,0.0002556321338285,0.0159885000493643,0.0084932707250118,0.0008565020980313,0.0054002404212951,0.1966733711288177,13.6s,13.85%,3.93%,45,3
3F+vix_mom_lag+vix_mom+rho,33.486148834228516,0.0002572533098321,0.0160391181126684,0.0086633535102009,-0.0004977459320798,0.0054566636681556,0.1915788087423239,13.9s,13.31%,-0.63%,53,3
3F+vix_mom_lag+gamma+theta,36.01294708251953,0.0002766651333854,0.0166332538423925,0.0085826776921749,7.001326594036072e-05,0.005270279943943,0.1305769521220359,13.4s,6.77%,-7.55%,93,3
3F+vix_mom_lag+gamma+vega,35.811439514160156,0.0002751170757341,0.0165866535423553,0.0085797337815165,-0.000409508444136,0.0052723139524459,0.135441739329038,13.6s,7.29%,0.56%,91,3
3F+vix_mom_lag+gamma+rho,34.19561767578125,0.0002627037188539,0.0162081374270442,0.0083839511498808,0.0006741288234479,0.0051250644028186,0.1744508419257278,13.7s,11.47%,4.51%,62,3
3F+vix_mom_lag+theta+vega,35.55649948120117,0.0002731585296017,0.0165275082696017,0.0081961061805486,9.757519728736952e-05,0.0048670172691345,0.1415964908403049,13.7s,7.95%,-3.98%,87,3
3F+vix_mom_lag+theta+rho,37.75238037109375,0.0002900281203605,0.0170302119881275,0.008945932611823,0.000247131451033,0.005739539861679,0.0885836271140237,13.7s,2.26%,-6.18%,107,3
3F+vix_mom_lag+vega+rho,35.164276123046875,0.0002701453208395,0.0164360981026393,0.0082141729071736,0.0008786189719103,0.0049673467874526,0.1510655305918714,14.1s,8.96%,6.86%,81,3
3F+vix_mom+gamma+theta,34.17244338989258,0.0002625256851906,0.0162026443888218,0.0083269365131855,0.0006537449080497,0.0051152743399143,0.1750103145571555,14.1s,11.53%,2.82%,61,3
3F+vix_mom+gamma+vega,34.37284851074219,0.0002640652734215,0.016250085335825,0.0082022724673151,0.0001177717713289,0.0049515962600708,0.1701721425913851,14.0s,11.01%,-0.59%,65,3
