Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental,rank,added_features
3F+vix_lag+theta+vega+rho,46.10102844238281,0.0001879718188921,0.0137102815030218,0.0069175800308585,-0.0001258319680346,0.0042835623025894,0.3382892479671124,13.2s,28.98%,6.25%,44,4
3F+vix_mom_lag+vix_mom+gamma+theta,38.68722152709961,0.0001577428453124,0.0125595718602358,0.0065953121520578,-0.001003410667181,0.0041305720806121,0.4447032676775392,13.4s,40.40%,16.08%,5,4
3F+vix_mom_lag+vix_mom+gamma+vega,48.354949951171875,0.0001971619332986,0.0140414362975693,0.0069017875939607,-0.0002697985619306,0.0043175369501113,0.3059376031774973,13.0s,25.51%,-24.99%,59,4
3F+vix_mom_lag+vix_mom+gamma+rho,48.32258224487305,0.0001970299575742,0.0140367360014446,0.0070848655886948,-0.0004578150401357,0.0044596791267395,0.3064021927973004,13.1s,25.56%,0.07%,58,4
3F+vix_mom_lag+vix_mom+theta+vega,40.875152587890625,0.0001666638910027,0.0129098369859109,0.0065169329755008,0.0002225714270025,0.0040193647146224,0.413298816268357,13.1s,37.03%,15.41%,13,4
3F+vix_mom_lag+vix_mom+theta+rho,44.389156341552734,0.0001809918506923,0.013453321177031,0.0067711239680647,-0.0001934288593474,0.0041348040103912,0.3628605908090648,12.9s,31.62%,-8.60%,27,4
3F+vix_mom_lag+vix_mom+vega+rho,48.408111572265625,0.0001973786938992,0.0140491527822595,0.0066829123534262,-0.0004107783897779,0.004082977771759,0.3051745482639351,13.1s,25.43%,-9.05%,60,4
3F+vix_mom_lag+gamma+theta+vega,44.479679107666016,0.0001813609472086,0.0134670318633574,0.0070659667253494,-0.0018049103673547,0.00442536175251,0.3615612729919845,13.0s,31.48%,8.12%,29,4
3F+vix_mom_lag+gamma+theta+rho,45.112701416015625,0.0001839420253043,0.0135625228222605,0.0069421310909092,0.0002212699037045,0.0042994618415832,0.3524751922284039,13.1s,30.50%,-1.42%,38,4
3F+vix_mom_lag+gamma+vega+rho,49.80543518066406,0.0002030761255862,0.014250478082727,0.0072868606075644,-0.0008438719669356,0.0045563429594039,0.2851180747537565,12.8s,23.27%,-10.40%,74,4
3F+vix_mom_lag+theta+vega+rho,45.85986328125,0.0001869884947554,0.0136743736513033,0.0070168073289096,0.0008292850106954,0.004351332783699,0.3417508102256805,12.9s,29.35%,7.92%,43,4
3F+vix_mom+gamma+theta+vega,42.79430389404297,0.0001744890171211,0.0132094290989857,0.0066731935366988,-0.0009944922057911,0.0041093975305557,0.3857522929701594,13.2s,34.07%,6.68%,17,4
3F+vix_mom+gamma+theta+rho,44.90285110473633,0.000183086383987,0.0135309417258008,0.0068503273651003,-0.0002174542169086,0.0042357146739959,0.3554872770339415,13.1s,30.83%,-4.93%,34,4
3F+vix_mom+gamma+vega+rho,50.61257553100586,0.0002063671506432,0.0143654846992098,0.0071890456601977,-0.0016194740310311,0.0045009106397628,0.2735327920330409,12.8s,22.03%,-12.72%,81,4
